namespace,profs_ativos,profs_logaram,profs_criaram,profs_ensinaram
ateneulondrina,4,4,0,0
lasalledores,3,3,1,0
colegiodarwin,5,2,0,0
cfsantoantonio,4,0,0,0
jesusmariajose,4,1,3,3
novadimensao,1,0,0,0
moria,4,0,0,0
clubedopimpolho,2,1,0,0
adventus,4,2,0,0
tabernaculo,4,1,0,0
projetovida,2,2,2,0
boaviagem,11,9,0,0
egocg,3,1,0,0
santaamalia,4,1,2,0
escolasoito,4,2,1,1
ensinoteclondrina,3,3,1,1
certus,0,0,0,0
evolucao,4,3,3,1
dorothea,6,2,0,1
puccampinas,3,0,1,0
apotec,15,15,14,14
lumen,5,1,0,0
colegiodasamericas,5,5,4,4
colegioideal,1,0,0,0
vilagelin,3,1,1,1
purissimo,5,3,2,1
colprogressao,36,19,15,15
crb,86,28,23,29
escolaimpacto,18,14,12,9
colegiouniversitario,18,12,10,10
spdacruz,3,3,1,2
cermac,37,23,17,20
colband,43,0,0,0
cpv,26,16,9,6
amadeus,20,15,10,15
ftec,48,22,7,14
cdi,8,1,0,1
psantagema,5,4,4,4
campossalles,89,27,20,15
emiliaferreiro,3,3,1,1
ios,2,0,0,0
smartz,4,1,0,0
sersorocaba,4,4,0,0
educandario,3,1,0,0
cesc,3,0,0,0
ruibarbosa,3,0,0,0
joseflorencio,2,2,0,0
colegioequipe,5,1,1,0
leonor,0,0,0,0
mestre,2,1,0,0
fito,0,0,0,0
principedapaz,0,0,0,0
geracaocolegioecurso,1,0,0,0
ginasioanchieta,4,0,0,0
virgempoderosa,3,0,0,0
sidarta,3,0,0,0
migueldecervantes,4,2,1,1
paulofreire,3,0,0,0
